episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,return_mean,return_std,grad_norm,value_loss,adv_mean,adv_std
1,-257.68124290700393,-257.68124290700393,91,-46.83042907714844,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,-46.83042907714844,-2.2924863785078742e-08,1.0,3.1211936473846436,0.9766080975532532,-0.004110930487513542,0.9937012195587158
2,-134.0893022302343,-195.88527256861911,103,137.64027404785156,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,137.64027404785156,-1.9501713666159048e-07,1.0,10.196006774902344,0.9900475144386292,0.009324084967374802,0.9998329877853394
3,-118.09980046446114,-169.9567818672331,103,103.40267181396484,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,103.40267181396484,-2.5751521093297924e-07,1.0,5.819117546081543,0.9749980568885803,0.0070354267954826355,0.9922232031822205
4,-231.93057283047767,-185.45022960804425,135,80.76625061035156,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,80.76625061035156,-1.1170352109957093e-07,0.9999999403953552,4.4803667068481445,0.9627659320831299,0.0031920424662530422,0.984855592250824
5,-291.6402651173696,-206.68823670990932,92,7.043540954589844,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,7.043540954589844,7.871700091754974e-08,0.9999999403953552,0.8441597819328308,0.9469237327575684,0.0006016437546350062,0.9784319400787354
6,-263.5489284761659,-216.1650186709521,103,-176.36984252929688,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,-176.36984252929688,2.754544823346805e-07,1.0,13.79491901397705,0.972405731678009,-0.012020274996757507,0.990854799747467
7,-166.07841025493468,-209.0097888972353,70,-60.396644592285156,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,-60.396644592285156,4.427773703241655e-08,1.0,5.349113464355469,0.9465004205703735,-0.008893792517483234,0.979866087436676
8,-552.3851237370579,-251.93170575221313,88,-375.69708251953125,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,-375.69708251953125,-4.334883385581634e-08,1.0,49.30978012084961,0.8847518563270569,-0.03511481359601021,0.9453434348106384
9,-122.13828342829684,-237.5102143828891,102,426.3192138671875,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,426.3192138671875,-1.9166984088769823e-07,1.0,15.803655624389648,0.9713085293769836,0.029635578393936157,0.9899689555168152
10,-23.811422792150807,-216.14033522381527,69,42.59693908691406,0.0005,1,reinforce_gamma999_hidden64_baseline_ep2000_seed1,42.59693908691406,0.0,1.0,10.989511489868164,1.0082720518112183,0.006473776418715715,1.0114628076553345
