episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
23,-77.38962624532071,-176.6000456186088,63,79.18365437643868,0.003,1,dqn_learning_rate_high_seed1,0.8911090557802088,2123,1.0747715532779694
24,-473.19083748926187,-188.95799527988598,125,80.0946822719574,0.003,1,dqn_learning_rate_high_seed1,0.8866535105013078,2248,0.060341204915727885
25,-196.76823946580558,-189.27040504732278,102,50.17354904436598,0.003,1,dqn_learning_rate_high_seed1,0.8822202429488013,2350,1.1100464921731215
26,-375.24706334981465,-196.42335344357247,105,49.07127290453229,0.003,1,dqn_learning_rate_high_seed1,0.8778091417340573,2455,0.9569364931020472
27,-175.1038219535835,-195.63374116616544,64,47.28026770427823,0.003,1,dqn_learning_rate_high_seed1,0.8734200960253871,2519,1.7689615786075592
28,-45.7450515661246,-190.2805736804497,116,31.95111917318969,0.003,1,dqn_learning_rate_high_seed1,0.8690529955452602,2635,1.2271527412037055
29,-166.50429155969468,-189.4607018831823,95,37.871097883425264,0.003,1,dqn_learning_rate_high_seed1,0.8647077305675338,2730,-0.34056354872882366
30,-77.01986752463193,-185.71267407123062,77,34.4496075890281,0.003,1,dqn_learning_rate_high_seed1,0.8603841919146962,2807,6.805685390125621
31,-31.487279463359286,-180.73766134194446,136,31.342458709197885,0.003,1,dqn_learning_rate_high_seed1,0.8560822709551227,2943,-1.7845757518182783
32,-137.9041809459182,-179.39911507956865,77,43.883715716275304,0.003,1,dqn_learning_rate_high_seed1,0.851801859600347,3020,2.150372564792633
33,-170.78262537094625,-179.1380093308225,74,33.3719437122345,0.003,1,dqn_learning_rate_high_seed1,0.8475428503023453,3094,1.0764133036136627
34,-102.13609390626247,-176.8732471124531,72,38.743512711591194,0.003,1,dqn_learning_rate_high_seed1,0.8433051360508336,3166,4.661010597433362
35,-152.96868065979328,-176.19025949951995,147,32.84597250312364,0.003,1,dqn_learning_rate_high_seed1,0.8390886103705794,3313,2.661037844262625
36,-82.04727371826303,-173.5751765611517,83,32.74852822774864,0.003,1,dqn_learning_rate_high_seed1,0.8348931673187264,3396,-7.117679742666391
37,-176.21719367951874,-173.64658242921567,109,34.70903792293794,0.003,1,dqn_learning_rate_high_seed1,0.8307187014821328,3505,3.585943121995245
38,-136.63315750851376,-172.67254493130247,85,29.720640721040613,0.003,1,dqn_learning_rate_high_seed1,0.8265651079747222,3590,-5.1275145530700685
39,-43.51546672013171,-169.36082497716987,73,24.227438307788272,0.003,1,dqn_learning_rate_high_seed1,0.8224322824348486,3663,17.66015282544223
40,-120.42935056589843,-168.1375381168881,105,24.755430202257067,0.003,1,dqn_learning_rate_high_seed1,0.8183201210226743,3768,8.95037005841732
41,-57.34420895395793,-165.435261795841,153,21.325263777589488,0.003,1,dqn_learning_rate_high_seed1,0.8142285204175609,3921,12.306736648082733
42,-127.9673984640025,-164.5431698117496,81,18.18944517771403,0.003,1,dqn_learning_rate_high_seed1,0.810157377815473,4002,7.462777431194599
43,-142.04798016886673,-164.0200258665663,100,26.16498572587967,0.003,1,dqn_learning_rate_high_seed1,0.8061065909263957,4102,5.237090126464241
44,-90.28150518536552,-162.34415039653902,108,23.56662693730107,0.003,1,dqn_learning_rate_high_seed1,0.8020760579717637,4210,15.074989572167397
