episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,value_loss,entropy,adv_mean,grad_norm
3,-163.4757537841797,-271.33360290527344,86,858.0599975585938,0.0001,1,a2c_lr_low_seed1,-23.13329315185547,1762.389404296875,1.38503897190094,-16.68755340576172,46.29274368286133
8,-121.76776123046875,-182.03458404541016,128,543.7723388671875,0.0001,1,a2c_lr_low_seed1,-32.641902923583984,1152.831298828125,1.3851876258850098,-23.68516731262207,47.63677215576172
8,-121.76776123046875,-182.03458404541016,128,158.8856658935547,0.0001,1,a2c_lr_low_seed1,-16.52073097229004,350.8155822753906,1.3853492736816406,-11.87701416015625,26.698759078979492
12,-245.03390502929688,-192.3749211629232,82,677.6100463867188,0.0001,1,a2c_lr_low_seed1,-34.41249465942383,1424.0478515625,1.3853352069854736,-24.78657341003418,56.66978454589844
16,-92.35765838623047,-205.87693166732788,63,1092.84423828125,0.0001,1,a2c_lr_low_seed1,-35.677608489990234,2257.04638671875,1.3852813243865967,-25.860105514526367,60.08700180053711
19,-110.27604675292969,-190.1100411666067,65,354.13189697265625,0.0001,1,a2c_lr_low_seed1,-23.53411102294922,755.3347778320312,1.385433316230774,-17.00914764404297,34.595088958740234
20,-85.6648178100586,-184.8877799987793,65,222.88983154296875,0.0001,1,a2c_lr_low_seed1,-18.1130428314209,482.0085144042969,1.385548710823059,-13.033952713012695,27.51218032836914
23,-86.97583770751953,-179.81352698284647,68,155.23516845703125,0.0001,1,a2c_lr_low_seed1,-13.431722640991211,337.3365478515625,1.3853899240493774,-9.661980628967285,20.872983932495117
25,-123.95011138916016,-178.5937808227539,118,556.3098754882812,0.0001,1,a2c_lr_low_seed1,-26.956466674804688,1166.5355224609375,1.3853745460510254,-19.494035720825195,44.171714782714844
29,-274.11431884765625,-184.50883115571122,120,574.2510375976562,0.0001,1,a2c_lr_low_seed1,-22.96457862854004,1194.43408203125,1.3854303359985352,-16.543155670166016,41.48025894165039
32,-217.28555297851562,-181.46621680259705,85,350.0743713378906,0.0001,1,a2c_lr_low_seed1,-20.790027618408203,741.7315673828125,1.385416030883789,-15.108102798461914,36.72341537475586
34,-90.53768157958984,-180.58984554515166,86,272.3793029785156,0.0001,1,a2c_lr_low_seed1,-15.126199722290039,575.0137329101562,1.3853815793991089,-10.9588623046875,29.308500289916992
39,-88.88729858398438,-180.24310987423627,70,976.7100219726562,0.0001,1,a2c_lr_low_seed1,-37.910125732421875,2029.2431640625,1.3848919868469238,-27.4429874420166,80.00293731689453
41,-100.10808563232422,-178.033787797137,66,275.7581481933594,0.0001,1,a2c_lr_low_seed1,-21.658309936523438,594.835693359375,1.3854464292526245,-15.60189151763916,36.284358978271484
42,-62.111541748046875,-175.2737343197777,71,271.54864501953125,0.0001,1,a2c_lr_low_seed1,-23.52374839782715,590.1475219726562,1.3856370449066162,-16.967687606811523,41.92172622680664
