episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,epsilon,buffer_size,mean_q
46,-355.56571293518084,-180.45062968678423,140,29.73408752168928,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996256285704971,4193,0.0
47,-103.41125367409276,-178.8114940269397,77,29.618042693509683,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996174916178805,4270,0.0
48,-325.4151249831019,-181.8657363385264,91,27.44958105585077,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996093547314987,4361,0.0
49,20.529445355790486,-177.73522242639748,80,31.972874338924886,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9996012179113511,4441,0.0
50,-29.84092758872994,-174.77733652964412,109,32.97220445991656,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995930811574373,4550,0.0
51,-392.8862571758432,-180.62438054554136,88,26.988505294377152,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995849444697567,4638,0.0
52,-309.1964492062486,-181.45464486705274,123,51.639383358684015,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995768078483086,4761,0.0
53,-154.46412081112356,-178.53183550625727,61,49.26320336685806,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995686712930927,4822,0.0
54,-317.98731560178464,-179.45632243179273,95,50.71251653872038,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995605348041083,4917,0.0
55,-74.87332821433745,-175.9671486757903,63,43.84124720285809,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999552398381355,4980,0.0
56,-398.3577735227058,-181.389352251341,90,58.60815728240543,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995442620248322,5070,0.0
57,-126.97044115598781,-179.6716071302903,76,53.85067321438538,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995361257345392,5146,0.0
58,-153.28020625983402,-174.94311362269013,89,46.96451685133945,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995279895104757,5235,0.0
59,-124.9150709650531,-175.362083810435,97,51.30256281439791,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999519853352641,5332,0.0
60,-297.04413057347097,-176.95427869550159,109,56.62202108453173,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995117172610347,5441,0.0
61,-119.64112706540176,-175.60074746383307,75,56.36701404253642,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9995035812356562,5516,0.0
62,-84.85925433198946,-171.0840507137534,92,66.64030510187149,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994954452765049,5608,0.0
63,-78.92730738842195,-170.1136988121168,67,58.716100493473796,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994873093835803,5675,0.0
64,-324.9928630823383,-172.6357062909599,100,59.880982047319414,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994791735568819,5775,0.0
65,-114.00709064137865,-172.12789373427285,117,60.87519113426534,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994710377964091,5892,0.0
66,-129.64472773992952,-171.51931397991052,104,56.588202462746544,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994629021021614,5996,0.0
67,-309.71066406573186,-169.65558890095627,91,66.14099447281806,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994547664741382,6087,0.0
68,-434.41335375130194,-176.57949561901685,86,70.94991877189902,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994466309123391,6173,0.0
69,-164.6270812411816,-176.4486172597688,65,66.21493817476126,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994384954167634,6238,0.0
70,-305.8850742440653,-180.32698402771896,102,66.63480944726982,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994303599874107,6340,0.0
71,-88.29845903725912,-179.57780303754134,93,125.74322972759124,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994222246242803,6433,0.0
72,-99.51202826768132,-174.44033685203016,103,96.55422793314295,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994140893273719,6536,0.0
73,-8.375170291831395,-173.08632443616784,138,87.54069010934968,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9994059540966846,6674,0.0
74,-171.18274712574856,-174.1354767338692,64,69.51764919608831,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993978189322182,6738,0.0
75,-87.74737133086475,-173.80192183336194,69,67.24689736228058,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993896838339721,6807,0.0
76,-243.64515828341953,-171.74816763119046,80,93.02421060502529,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993815488019456,6887,0.0
77,-108.28114656770117,-168.4713663185226,97,102.29883928397267,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993734138361383,6984,0.0
78,-90.0154443617524,-167.0043908832493,61,81.48264091132117,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993652789365497,7045,0.0
79,-55.947736118470544,-165.2487316755534,88,132.91633835976774,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993571441031791,7133,24.769939422607422
80,-247.51640017107957,-168.8880531771169,124,120.42473145646434,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993490093360261,7257,0.0
81,-179.75121670501062,-171.0673220831908,70,92.80443822996956,0.001,1,dqn_epsilon_decay_vath187_seed1,0.99934087463509,7327,0.0
82,-130.7386554823138,-171.03987959139332,85,128.0439242699567,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993327400003704,7412,0.0
83,-104.48692793528336,-170.36344996866134,83,88.85584471886416,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993246054318667,7495,0.0
84,-262.43164601770775,-175.77285977853694,107,117.19105819229767,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993164709295784,7602,0.0
85,-122.27798648386587,-176.1158051051313,74,107.97234621241286,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999308336493505,7676,0.0
86,-261.19025250855213,-179.28791079443124,72,142.55389049980374,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9993002021236459,7748,0.0
87,-76.97639815990524,-178.88621852208055,72,141.60353266530566,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992920678200006,7820,0.0
88,-400.49349064656593,-183.4139027316084,92,93.02143493942593,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992839335825685,7912,0.0
89,-79.53715128775119,-183.20852596903967,92,130.9125687065332,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992757994113491,8004,0.0
90,-210.67045653305593,-184.63584757574571,90,142.88464090824127,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992676653063419,8094,0.0
91,-124.03134592573171,-184.04718466820643,85,163.22335736891802,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992595312675463,8179,0.0
92,-308.65533962308666,-185.9691283833324,121,121.58599760512675,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992513972949617,8300,0.0
93,-154.73004232038105,-183.3137694059522,64,155.26424308121204,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992432633885877,8364,0.0
94,-164.13339557162735,-181.571456692939,119,126.67484870277534,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992351295484236,8483,0.0
95,-140.3361508431859,-182.6269865692656,85,113.07491843560163,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999226995774469,8568,0.0
96,-172.09247950172,-178.95752190059636,139,147.6778029332058,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992188620667234,8707,0.0
97,-127.76956093247267,-179.44468804576394,94,156.8661486899599,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992107284251861,8801,0.0
98,-311.353130148461,-179.16344814907114,82,126.42122580365437,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9992025948498566,8883,18.61447525024414
99,-331.55773313448714,-186.2051917188767,107,126.69403948070847,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991944613407345,8990,0.0
100,-85.71669344818177,-187.32270703606574,74,137.47312099869185,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991863278978191,9064,0.0
101,-133.0265027947368,-182.1255119484436,84,173.00433649335588,0.001,1,dqn_epsilon_decay_vath187_seed1,0.99917819452111,9148,0.0
102,-59.34702298163303,-177.1285234239513,147,166.78529907083836,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991700612106066,9295,0.0
103,-181.5558130421145,-177.6703572685711,136,132.40382880848998,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991619279663083,9431,0.0
104,-188.78685190374705,-175.08634799461038,75,128.5947139898936,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991537947882146,9506,0.0
105,-118.50457981596844,-175.95897302664295,74,169.02943652707177,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999145661676325,9580,0.0
106,-232.57615085487632,-172.64334057328637,72,206.97011252741018,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991375286306389,9652,0.0
107,-66.48406832723532,-171.4336131167113,68,162.86002830898062,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991293956511558,9720,0.0
108,-89.06941767143488,-170.14939734494337,72,191.75622784429126,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991212627378752,9792,0.0
109,-93.88604215898697,-169.528816768822,92,148.32796469460362,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991131298907965,9884,0.0
110,-316.27858580769737,-169.91350587350652,90,191.91643615563711,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9991049971099192,9974,0.0
111,-148.23981876217502,-170.48547970744198,129,249.65567826115807,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990968643952427,10103,0.0
112,-112.25646277755396,-171.03342387635325,72,233.9506163166629,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990887317467665,10175,0.0
113,-117.33490911325327,-171.8015759108499,65,225.00184412002562,0.001,1,dqn_epsilon_decay_vath187_seed1,0.99908059916449,10240,0.0
114,-115.28845116057931,-167.60748767241475,64,202.3892765007913,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990724666484128,10304,0.0
115,-254.1045414918686,-170.40943668942452,104,217.07664821698114,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990643341985342,10408,0.0
116,-305.6045717222163,-173.92863356907029,102,188.67648920241524,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990562018148538,10510,0.0
117,-134.7341384524974,-170.42910305680562,88,162.78206539424983,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990480694973709,10598,0.0
118,-325.0223569440848,-168.24128312066125,101,181.78042790913346,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990399372460852,10699,0.0
119,-91.77181785854799,-166.78417785300854,75,243.81968330701193,0.001,1,dqn_epsilon_decay_vath187_seed1,0.999031805060996,10774,0.0
120,-238.6986780436288,-165.44044992899984,91,196.59781009024317,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990236729421027,10865,0.0
121,-95.81406549884922,-165.59076205823163,65,252.3436268733098,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990155408894049,10930,0.0
122,-88.09130387046136,-165.36234757028728,67,153.670003684599,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9990074089029021,10997,0.0
123,-426.50149953445475,-173.72487415513973,81,310.83556060143457,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989992769825936,11078,0.0
124,-350.48542855215953,-177.31092778366795,114,155.88833058716958,0.001,1,dqn_epsilon_decay_vath187_seed1,0.998991145128479,11192,0.0
125,-112.3025690528664,-177.80203173810798,87,190.50475534351392,0.001,1,dqn_epsilon_decay_vath187_seed1,0.9989830133405576,11279,-54.44181823730469
