episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,value_loss,entropy,adv_mean,grad_norm
3,-163.4757537841797,-271.33360290527344,86,858.0680541992188,0.0003,1,a2c_entropy_low_seed1,-23.126007080078125,1762.389404296875,1.3848929405212402,-16.687557220458984,46.29287338256836
8,-121.76776123046875,-182.03458404541016,128,539.2011108398438,0.0003,1,a2c_entropy_low_seed1,-32.093238830566406,1142.590087890625,1.3849245309829712,-23.268037796020508,46.916324615478516
8,-121.76776123046875,-182.03458404541016,128,135.3142852783203,0.0003,1,a2c_entropy_low_seed1,-14.689844131469727,300.0096435546875,1.3851070404052734,-10.588858604431152,23.596569061279297
10,-168.37826538085938,-192.27215270996095,85,642.787841796875,0.0003,1,a2c_entropy_low_seed1,-11.339483261108398,1308.2559814453125,1.384830117225647,-8.152608871459961,19.183013916015625
15,-273.75201416015625,-195.07561848958332,82,883.713623046875,0.0003,1,a2c_entropy_low_seed1,-31.06112289428711,1829.55078125,1.3847439289093018,-22.49683380126953,48.16520309448242
17,-126.41178894042969,-184.25236600988052,77,311.505615234375,0.0003,1,a2c_entropy_low_seed1,-23.966222763061523,670.945068359375,1.3848276138305664,-17.361955642700195,34.57158279418945
18,-199.40420532226562,-185.09413486056857,113,307.521728515625,0.0003,1,a2c_entropy_low_seed1,-13.676003456115723,642.3968505859375,1.3849244117736816,-9.754323959350586,25.90394401550293
23,-64.12939453125,-187.37222820779553,107,710.1416625976562,0.0003,1,a2c_entropy_low_seed1,-28.556201934814453,1477.3970947265625,1.3847579956054688,-20.57445526123047,56.6339225769043
24,-185.40399169921875,-187.29021835327148,95,56.56293869018555,0.0003,1,a2c_entropy_low_seed1,-6.7077484130859375,126.54276275634766,1.385036826133728,-4.84282922744751,11.711573600769043
28,-94.96089935302734,-178.57324436732702,82,776.6204833984375,0.0003,1,a2c_entropy_low_seed1,-29.948814392089844,1613.139892578125,1.3844257593154907,-21.576507568359375,52.194095611572266
31,-120.0431900024414,-178.0969021704889,97,282.0461730957031,0.0003,1,a2c_entropy_low_seed1,-16.35464096069336,596.8030395507812,1.3847880363464355,-11.759944915771484,26.4047908782959
32,-113.65971374511719,-176.08324003219604,117,152.468017578125,0.0003,1,a2c_entropy_low_seed1,-13.209583282470703,331.3565673828125,1.3848644495010376,-9.52906608581543,22.384624481201172
38,-199.8549041748047,-173.22469550684878,96,1022.32080078125,0.0003,1,a2c_entropy_low_seed1,-46.99310302734375,2138.629150390625,1.3842334747314453,-34.0515251159668,85.19850158691406
39,-254.6129913330078,-175.3115748870067,94,123.88580322265625,0.0003,1,a2c_entropy_low_seed1,-11.575828552246094,270.9246520996094,1.3848013877868652,-8.249773979187012,20.63800811767578
40,-91.14094543457031,-173.2073091506958,74,203.66175842285156,0.0003,1,a2c_entropy_low_seed1,-20.80810546875,448.94110107421875,1.3844237327575684,-14.944238662719727,35.901123046875
44,-335.6595153808594,-182.02614385431463,105,1600.6865234375,0.0003,1,a2c_entropy_low_seed1,-47.00296401977539,3295.38037109375,1.383705496788025,-33.840267181396484,101.76351928710938
46,-280.44622802734375,-183.10323897652003,111,332.40008544921875,0.0003,1,a2c_entropy_low_seed1,-19.49895477294922,703.7994995117188,1.3842984437942505,-14.011468887329102,42.736778259277344
47,-317.75628662109375,-185.96819743704287,128,351.4012756347656,0.0003,1,a2c_entropy_low_seed1,7.410463333129883,687.9830322265625,1.3843090534210205,5.24219274520874,16.411962509155273
53,-132.74078369140625,-169.06392486572267,103,618.3184204101562,0.0003,1,a2c_entropy_low_seed1,-29.547704696655273,1295.733642578125,1.383798599243164,-21.66568374633789,59.38163757324219
55,-96.13372039794922,-170.94957901000976,91,197.81825256347656,0.0003,1,a2c_entropy_low_seed1,-13.18222427368164,422.0023193359375,1.384307622909546,-9.564407348632812,26.252174377441406
57,-53.75532531738281,-165.7585368347168,67,154.01962280273438,0.0003,1,a2c_entropy_low_seed1,-9.492613792419434,327.0258483886719,1.3844157457351685,-6.837259292602539,18.61465835571289
60,-11.284721374511719,-157.78581031799317,111,481.7119140625,0.0003,1,a2c_entropy_low_seed1,-11.840605735778809,987.1064453125,1.3840595483779907,-8.379281997680664,22.404943466186523
63,-428.29791259765625,-160.18674110412599,79,1527.302490234375,0.0003,1,a2c_entropy_low_seed1,-44.92431640625,3144.455078125,1.383171558380127,-32.57080841064453,117.95979309082031
65,-100.54767608642578,-159.55995552062987,128,241.19366455078125,0.0003,1,a2c_entropy_low_seed1,-21.137462615966797,524.6636352539062,1.3841511011123657,-15.217449188232422,43.33743667602539
66,-329.0030517578125,-164.54513343811035,83,490.26080322265625,0.0003,1,a2c_entropy_low_seed1,-18.4198055267334,1017.3626098632812,1.3834047317504883,-13.467266082763672,48.7374267578125
71,-321.3489074707031,-175.22627708435058,87,1663.2060546875,0.0003,1,a2c_entropy_low_seed1,-49.840206146240234,3426.093994140625,1.3821017742156982,-35.637351989746094,136.94749450683594
73,-57.47243118286133,-170.01469482421874,71,151.1180419921875,0.0003,1,a2c_entropy_low_seed1,-10.697698593139648,323.6328430175781,1.3841588497161865,-7.7109246253967285,24.065458297729492
76,-409.4884033203125,-172.30747314453126,151,1458.7578125,0.0003,1,a2c_entropy_low_seed1,-37.972900390625,2993.462890625,1.3829658031463623,-27.421588897705078,110.17095947265625
80,-81.18959045410156,-164.54907287597655,94,562.3197021484375,0.0003,1,a2c_entropy_low_seed1,-22.183210372924805,1169.0072021484375,1.3833861351013184,-15.84963607788086,52.60157012939453
81,-253.51290893554688,-167.21846725463868,81,130.43870544433594,0.0003,1,a2c_entropy_low_seed1,-11.421689987182617,283.72216796875,1.3832480907440186,-8.233826637268066,28.486894607543945
82,-198.25921630859375,-168.9104573059082,85,501.1099548339844,0.0003,1,a2c_entropy_low_seed1,-20.362850189208984,1042.947021484375,1.3831779956817627,-14.706652641296387,58.65665817260742
86,-198.459228515625,-172.4294563293457,105,519.0223999023438,0.0003,1,a2c_entropy_low_seed1,-26.781766891479492,1091.609619140625,1.3827019929885864,-19.408039093017578,75.94154357910156
90,-51.0616455078125,-170.83580368041993,158,793.436279296875,0.0003,1,a2c_entropy_low_seed1,-28.152029037475586,1643.177978515625,1.3830397129058838,-20.241304397583008,77.92623901367188
90,-51.0616455078125,-170.83580368041993,158,200.26181030273438,0.0003,1,a2c_entropy_low_seed1,-21.93244743347168,444.389892578125,1.3838245868682861,-15.663309097290039,54.25526428222656
92,-104.75694274902344,-165.96595153808593,89,988.1951904296875,0.0003,1,a2c_entropy_low_seed1,-20.6224308013916,2017.6365966796875,1.3823143243789673,-15.093133926391602,66.07543182373047
94,-300.72283935546875,-164.15445587158203,117,636.7582397460938,0.0003,1,a2c_entropy_low_seed1,-32.67965316772461,1338.8770751953125,1.3811637163162231,-23.739057540893555,128.70729064941406
97,-534.03076171875,-175.00238983154296,111,130.50111389160156,0.0003,1,a2c_entropy_low_seed1,-11.616847038269043,284.2373046875,1.382760763168335,-8.47026252746582,37.59742736816406
101,-76.73462677001953,-177.84119522094727,56,370.7196960449219,0.0003,1,a2c_entropy_low_seed1,-14.678645133972168,770.798095703125,1.3829805850982666,-10.66879940032959,50.654762268066406
103,-82.27876281738281,-177.64208084106446,112,320.4345397949219,0.0003,1,a2c_entropy_low_seed1,-19.06730079650879,679.0050659179688,1.3831297159194946,-13.879449844360352,56.92144775390625
106,-71.34846496582031,-178.75253509521485,68,292.3166198730469,0.0003,1,a2c_entropy_low_seed1,-24.125396728515625,632.8854370117188,1.3826241493225098,-17.379554748535156,72.83991241455078
107,-214.7872314453125,-181.97317321777345,107,251.089599609375,0.0003,1,a2c_entropy_low_seed1,-20.090438842773438,542.3614501953125,1.3831284046173096,-14.351757049560547,61.25783920288086
108,-424.308837890625,-189.28001762390136,136,652.4424438476562,0.0003,1,a2c_entropy_low_seed1,-13.694161415100098,1332.2745361328125,1.3815827369689941,-9.61499309539795,67.36419677734375
113,-108.1869888305664,-182.69165519714355,90,590.337890625,0.0003,1,a2c_entropy_low_seed1,-31.164724349975586,1243.006591796875,1.3814336061477661,-22.47069549560547,109.81916809082031
114,-234.31654357910156,-185.3492261505127,73,130.31300354003906,0.0003,1,a2c_entropy_low_seed1,-8.743572235107422,278.1145324707031,1.3826539516448975,-6.154794692993164,33.98504638671875
117,-285.28955078125,-178.97222190856934,82,574.7090454101562,0.0003,1,a2c_entropy_low_seed1,-29.847423553466797,1209.1142578125,1.3823003768920898,-21.592050552368164,116.82164001464844
119,-243.76214599609375,-177.0582738494873,99,373.3728942871094,0.0003,1,a2c_entropy_low_seed1,-17.19649887084961,781.1401977539062,1.3819248676300049,-12.392810821533203,71.51982879638672
123,-123.39183807373047,-170.62208892822267,69,270.1676940917969,0.0003,1,a2c_entropy_low_seed1,-17.538816452026367,575.4144287109375,1.3818515539169312,-12.799661636352539,67.69891357421875
125,-73.47258758544922,-172.33241912841797,68,245.66073608398438,0.0003,1,a2c_entropy_low_seed1,-20.352916717529297,532.0286865234375,1.3819810152053833,-14.782155990600586,77.51940155029297
127,22.324668884277344,-166.21140838623046,85,901.1072387695312,0.0003,1,a2c_entropy_low_seed1,-28.961421966552734,1860.138671875,1.3808844089508057,-20.588909149169922,114.47498321533203
130,-114.2456283569336,-179.49252471923828,88,525.7623901367188,0.0003,1,a2c_entropy_low_seed1,-20.33188247680664,1092.18994140625,1.3813891410827637,-15.395761489868164,104.64897918701172
133,-130.92822265625,-170.9152653503418,84,311.8974304199219,0.0003,1,a2c_entropy_low_seed1,-17.279537200927734,658.3553466796875,1.3820629119873047,-12.298079490661621,69.63975524902344
135,-121.88584899902344,-171.20940460205077,78,413.9292907714844,0.0003,1,a2c_entropy_low_seed1,-14.888175964355469,857.6363525390625,1.3819369077682495,-10.896942138671875,56.88176345825195
136,-17.17182159423828,-167.58365646362304,110,194.87037658691406,0.0003,1,a2c_entropy_low_seed1,-11.14816665649414,412.0384521484375,1.3825647830963135,-8.0663480758667,44.81990432739258
141,-129.54165649414062,-170.16391021728515,69,757.517578125,0.0003,1,a2c_entropy_low_seed1,-36.549888610839844,1588.13623046875,1.3799508810043335,-26.760873794555664,171.3813934326172
142,-221.69403076171875,-172.50265197753907,114,158.43898010253906,0.0003,1,a2c_entropy_low_seed1,-12.887139320373535,342.65362548828125,1.382043719291687,-9.24268913269043,57.47223663330078
