episode,total_reward,moving_avg_reward,episode_length,loss,learning_rate,seed,exp_name,policy_loss,value_loss,entropy,adv_mean,grad_norm
3,-163.4757537841797,-271.33360290527344,86,870.6627197265625,0.001,1,a2c_lr_high_seed1,-24.826709747314453,1790.981689453125,1.3833212852478027,-17.846332550048828,47.70984649658203
7,-184.59771728515625,-190.64413016183036,125,481.57562255859375,0.001,1,a2c_lr_high_seed1,-29.934844970703125,1023.023681640625,1.3817390203475952,-21.710206985473633,43.16404724121094
8,-226.15122985839844,-195.08251762390137,129,112.3394775390625,0.001,1,a2c_lr_high_seed1,-13.695694923400879,252.07310485839844,1.3802162408828735,-9.931692123413086,20.687297821044922
12,-114.68743896484375,-199.65803019205728,60,902.8530883789062,0.001,1,a2c_lr_high_seed1,-17.197141647338867,1840.103271484375,1.378711223602295,-12.723395347595215,30.530845642089844
13,-12.271461486816406,-185.2436787531926,100,307.3305969238281,0.001,1,a2c_lr_high_seed1,-19.10873031616211,652.8814086914062,1.3778942823410034,-13.863313674926758,28.554426193237305
19,-110.27604675292969,-182.6905686227899,65,1169.450927734375,0.001,1,a2c_lr_high_seed1,-27.638547897338867,2394.181640625,1.3773503303527832,-20.36664581298828,46.21663284301758
20,-10.771484375,-174.0946144104004,96,67.11479949951172,0.001,1,a2c_lr_high_seed1,-7.0941691398620605,148.4207000732422,1.3781899213790894,-5.060628890991211,9.697980880737305
24,-116.95655059814453,-166.62586816151938,69,708.5392456054688,0.001,1,a2c_lr_high_seed1,-22.296356201171875,1461.674072265625,1.3765811920166016,-16.138412475585938,39.24968719482422
28,-118.2456283569336,-159.57278197152274,116,348.3646545410156,0.001,1,a2c_lr_high_seed1,-25.348722457885742,747.4295043945312,1.3753340244293213,-18.435138702392578,37.66082000732422
28,-118.2456283569336,-159.57278197152274,116,46.656341552734375,0.001,1,a2c_lr_high_seed1,-4.783987998962402,102.88341522216797,1.3773131370544434,-3.4758002758026123,8.729732513427734
32,-154.09848022460938,-161.0645043849945,86,574.8935546875,0.001,1,a2c_lr_high_seed1,-28.46356964111328,1206.717041015625,1.377812385559082,-20.810972213745117,53.75515365600586
35,-82.26341247558594,-158.6537848336356,118,246.91741943359375,0.001,1,a2c_lr_high_seed1,-18.369956970214844,530.5775146484375,1.3766621351242065,-13.297663688659668,29.83283805847168
38,-184.87234497070312,-159.09875066656815,68,516.2794189453125,0.001,1,a2c_lr_high_seed1,-28.701316833496094,1089.9642333984375,1.3763766288757324,-20.723665237426758,51.03694152832031
41,-144.59164428710938,-156.1720030249619,100,376.3680114746094,0.001,1,a2c_lr_high_seed1,-21.17742347717285,795.0936279296875,1.372937798500061,-14.987092018127441,36.485633850097656
44,-386.6792297363281,-159.15094514326617,114,811.166748046875,0.001,1,a2c_lr_high_seed1,-39.724700927734375,1701.78564453125,1.3706824779510498,-28.285160064697266,77.91523742675781
46,-339.99169921875,-167.83839980415675,75,1355.981689453125,0.001,1,a2c_lr_high_seed1,-44.34415054321289,2800.654296875,1.3737497329711914,-31.951133728027344,103.3606185913086
49,-154.18255615234375,-176.34916126484774,79,805.8163452148438,0.001,1,a2c_lr_high_seed1,-40.40625762939453,1692.4478759765625,1.373216152191162,-29.74962043762207,92.0295639038086
52,-244.7716827392578,-171.52874984741212,87,516.16650390625,0.001,1,a2c_lr_high_seed1,-23.982595443725586,1080.3009033203125,1.3728760480880737,-17.560758590698242,57.011260986328125
54,-97.75332641601562,-175.99159469604493,75,592.6229248046875,0.001,1,a2c_lr_high_seed1,-30.38797378540039,1246.0245361328125,1.3730623722076416,-22.184062957763672,70.41571044921875
57,-159.71826171875,-179.22969390869142,96,339.5314025878906,0.001,1,a2c_lr_high_seed1,-18.206809997558594,715.4791870117188,1.3710395097732544,-13.538267135620117,45.87479019165039
60,-155.35337829589844,-179.42391723632812,113,674.6563110351562,0.001,1,a2c_lr_high_seed1,-30.50052261352539,1410.31640625,1.3721837997436523,-22.059391021728516,77.95254516601562
62,-112.13949584960938,-178.07685424804689,76,597.7684936523438,0.001,1,a2c_lr_high_seed1,-34.35371398925781,1264.2471923828125,1.374672293663025,-24.836559295654297,80.12541961669922
65,-116.80361938476562,-183.77594940185546,101,521.6046752929688,0.001,1,a2c_lr_high_seed1,-24.262590408325195,1091.7371826171875,1.3700815439224243,-17.657398223876953,63.958839416503906
68,-114.31243133544922,-182.8086344909668,118,367.46435546875,0.001,1,a2c_lr_high_seed1,-24.039695739746094,783.0108642578125,1.371045708656311,-17.716510772705078,59.14659881591797
68,-114.31243133544922,-182.8086344909668,118,130.3512420654297,0.001,1,a2c_lr_high_seed1,-18.712797164916992,298.1308288574219,1.3742557764053345,-13.6549072265625,43.527889251708984
73,-124.49986267089844,-187.74001083374023,91,672.9998779296875,0.001,1,a2c_lr_high_seed1,-32.86054611206055,1411.7236328125,1.3736685514450073,-23.606277465820312,90.33148956298828
76,-110.26337432861328,-193.21884872436524,75,355.6548767089844,0.001,1,a2c_lr_high_seed1,-21.55472755432129,754.4219360351562,1.3698784112930298,-15.526398658752441,56.97053909301758
77,-86.17239379882812,-192.76132049560547,80,313.0224609375,0.001,1,a2c_lr_high_seed1,-10.035703659057617,646.1190795898438,1.3672635555267334,-6.797798156738281,23.8550968170166
